Rank,ZCTA,Score,Population,Pop/km²,EV Regs,Med. Income,Commuters,Curr. Stations,Gap (km)
1,93536,0.5086,73417,111.0658955438064,3303,89987,29627.0,10,8.9
2,93619,0.4591,48320,99.96972538593661,2934,121444,21063.0,0,3.5
3,93306,0.4512,74518,293.76040384106875,2267,60857,28511.0,3,3.9
4,93311,0.4417,48722,87.99349992979552,2471,101447,21992.0,11,5.2
5,93117,0.4406,54915,124.72516171921812,2140,77964,26925.0,34,1.5
6,93257,0.4374,78754,79.37355797887089,1906,48411,30031.0,11,5.8
7,93535,0.4324,79522,128.43029751330155,2050,51560,26979.0,15,3.7
8,95973,0.3855,38490,49.19435984139982,1544,80249,19010.0,2,5.1
9,92544,0.3844,52364,117.78010002542291,1515,57881,19669.0,2,5.8
10,93454,0.378,41324,37.80500575734433,1511,73166,17741.0,39,0.4
11,93308,0.3768,54857,61.34993151733612,1357,49490,19652.0,21,2.7
12,95991,0.3706,43028,393.0398614119459,1261,58632,17632.0,3,1.5
13,91384,0.3689,28693,106.12342132287577,1719,119866,11069.0,1,0.2
14,92307,0.3658,40604,83.63176242742716,1412,69595,15031.0,3,3.3
15,93637,0.3653,40996,56.43527090410298,1380,67333,15876.0,9,2.3
16,92236,0.36,42218,263.54513879791494,857,40641,20583.0,2,2.0
17,93105,0.3593,26382,72.52594736514007,1438,109018,12911.0,4,1.2
18,93657,0.3551,35854,59.37365155316338,1147,63994,15205.0,4,6.0
19,95219,0.355,30242,83.33842961336812,1269,83934,13768.0,7,4.5
20,95363,0.3493,29364,23.675052972369073,1225,83458,12807.0,8,5.4
